Room name,Floor,Description,,Neighbor(break by connectivity),,,,,,,,,,,,,,
Outside,Outside,Outside,,,,,,,,,,,,,,,,
1-1-158,1,Corridor,,1-1-160,1-1-156,1-1-152,1-1-162,1-1-168,,1-1-163,,,,,,,,
1-1-160,1,Unknown(Open Area),,Outside,1-1-101,1-1-158,,1-1-102,1-1-156,,,,,,,,,
1-1-162,1,Meeting Room,,1-1-158,,1-1-101,1-1-163,,,,,,,,,,,
1-1-163,1,Facility,,1-1-168,,1-1-162,1-1-158,1-1-165,,,,,,,,,,
1-1-164,1,Private Office,,1-1-152,,1-1-188,1-1-166,1-1-168,,,,,,,,,,
1-1-165,1,Meeting Room,,1-1-168,,1-1-163,1-1-167,1EV1,,,,,,,,,,
1-1-166,1,Private Office,,1-1-168,,1-1-164,1-1-188,1-1-185,1-1-172,,,,,,,,,
1-1-167,1,Washroom,,1-1-168,,1-1-165,1-1-169,1ST2,,,,,,,,,,
1-1-168,1,Corridor,,1-1-114,1-1-169,1-1-174,1-1-167,1-1-166,1-1-158,1-1-163,1-1-165,,1-1-178,1-1-172,1-1-164,,,
1-1-169,1,Washroom,,1-1-168,,1-1-116,1-1-167,1-1-114,,,,,,,,,,
1-1-172,1,Private Office,,1-1-174,,1-1-168,1-1-166,1-1-185,1-1-184,,,,,,,,,
1-1-174,1,Open Area,,1-1-172,1-1-184,1-1-178,1-1-168,,,,,,,,,,,
1-1-178,1,Open Area,,1-1-114,1-1-174,1-1-184,1-1-123,,1-1-122,1-1-168,,,,,,,,
1-1-184,1,Open Area,,1-1-178,1-1-174,1-1-127,1-1-186,1-1-136,1-1-124,1-1-125,,1-1-132,1-1-172,1-1-185,,,,
1-1-185,1,Private Office,,1-1-186,,1-1-172,1-1-166,1-1-188,1-1-184,,,,,,,,,
1-1-186,1,Corridor,,1-1-184,1-1-152,1-1-188,1-1-185,,1-1-136,1-1-140,1-1-142,1-1-144,,,,,,
1-1-188,1,Shared Office,,1-1-186,,1-1-166,1-1-164,1-1-152,1-1-185,,,,,,,,,
1ST1,1,Elevator/Stair,,1-1-101,2ST1,,1-1-105,,,,,,,,,,,
1ST2,1,Elevator/Stair,,1-1-112,2ST2,0ST2,,1-1-116,1-1-167,1-1-101,1-1-111,1EV1,,,,,,
1ST3,1,Elevator/Stair,,Outside,1-1-127,2ST3,0ST3,,1-1-131,1-1-141,,,,,,,,
1EV1,1,Elevator/Stair,,1-1-101,0EV1,2EV1,3EV1,,1-1-162,1ST2,,,,,,,,
1-2-100,2,Unknown(Meeting Room),,1-2-111,1-2-164,,1-2-105,1-2-162,1-2-163,,,,,,,,,
1-2-101,2,Open Area,,Outside,1-2-104,1-2-105,1-2-102,1-2-103,,,,,,,,,,
1-2-102,2,Private Office,,Outside,1-2-101,,1-2-103,,,,,,,,,,,
1-2-103,2,Private Office,,Outside,1-2-101,,1-2-102,1-2-105,,,,,,,,,,
1-2-104,2,Open Area,,Outside,1-2-101,,2ST1,1-2-105,1-2-106,,,,,,,,,
1-2-105,2,Open Area,,Outside,2ST1,1-2-101,1-2-108,,1-2-110,1-2-111,1-2-112,1-2-100,1-2-162,1-2-103,1-2-104,,,
1-2-106,2,Meeting Room,,Outside,1-2-108,,1-2-104,2ST1,,,,,,,,,,
1-2-108,2,Corridor,,Outside,1-2-110,1-2-106,1-2-105,,,,,,,,,,,
1-2-110,2,Conference,,Outside,1-2-108,,1-2-105,2ST1,1-2-112,,,,,,,,,
1-2-111,2,Corridor,,1-2-112,2EV1,1-2-100,,1-2-105,1-2-233,2ST2,1-2-163,,,,,,,
1-2-112,2,Kitchen,,Outside,1-2-111,,1-2-122,1-2-233,1-2-105,1-2-110,,,,,,,,
1-2-117,2,Facility,,1-2-175,,1-2-233,1-2-118,1-2-171,,,,,,,,,,
1-2-118,2,Unknown(Corridor),,1-2-233,2ST2,,1-2-117,,,,,,,,,,,
1-2-122,2,Private Office,,Outside,1-2-233,,1-2-112,1-2-124,,,,,,,,,,
1-2-124,2,Private Office,,Outside,1-2-233,,1-2-122,1-2-125,,,,,,,,,,
1-2-125,2,Private Office,,Outside,1-2-233,,1-2-124,1-2-126,,,,,,,,,,
1-2-126,2,Private Office,,Outside,1-2-130,,1-2-125,1-2-128,,,,,,,,,,
1-2-128,2,Private Office,,Outside,1-2-130,,1-2-126,1-2-134,,,,,,,,,,
1-2-130,2,Open Area,,1-2-233,1-2-126,1-2-128,1-2-134,1-2-139,,1-2-175,1-2-174,1-2-180,,,,,,
1-2-134,2,Private Office,,Outside,1-2-130,,1-2-136,1-2-128,,,,,,,,,,
1-2-136,2,Private Office,,Outside,1-2-139,,1-2-134,1-2-138,,,,,,,,,,
1-2-138,2,Private Office,,Outside,1-2-139,,1-2-140,1-2-136,,,,,,,,,,
1-2-139,2,Open Area,,1-2-130,1-2-136,1-2-138,1-2-140,1-2-142,1-2-144,1-2-146,1-2-147,,,,,,,
1-2-140,2,Private Office,,Outside,1-2-139,,1-2-138,1-2-142,,,,,,,,,,
1-2-142,2,Private Office,,Outside,1-2-139,,1-2-140,1-2-144,,,,,,,,,,
1-2-144,2,Private Office,,Outside,1-2-139,,1-2-142,1-2-146,,,,,,,,,,
1-2-146,2,Private Office,,Outside,1-2-139,,1-2-144,2ST3,,,,,,,,,,
1-2-147,2,Open Area,,1-2-139,2ST3,1-2-148,1-2-190,1-2-180,,,,,,,,,,
1-2-148,2,Open Area,,1-2-150,1-2-184,1-2-190,1-2-147,,,,,,,,,,,
1-2-150,2,Private Office,,Outside,1-2-148,,2ST3,1-2-152,,,,,,,,,,
1-2-152,2,Private Office,,Outside,1-2-184,,1-2-150,1-2-154,,,,,,,,,,
1-2-154,2,Private Office,,Outside,1-2-184,,1-2-155,1-2-152,,,,,,,,,,
1-2-155,2,Private Office,,Outside,1-2-184,,1-2-154,1-2-156,,,,,,,,,,
1-2-156,2,Private Office,,Outside,1-2-184,,1-2-155,1-2-157,,,,,,,,,,
1-2-157,2,Private Office,,Outside,1-2-184,,1-2-156,1-2-158,,,,,,,,,,
1-2-158,2,Open Area,,Outside,1-2-162,1-2-160,1-2-164,,1-2-157,,,,,,,,,
1-2-160,2,Private Office,,Outside,1-2-158,,1-2-162,,,,,,,,,,,
1-2-162,2,Private Office,,Outside,1-2-158,,1-2-160,1-2-100,1-2-105,,,,,,,,,
1-2-163,2,Meeting Room,,1-2-164,,1-2-100,1-2-111,1-2-167,1-2-169,,,,,,,,,
1-2-164,2,Open Area,,1-2-100,1-2-163,1-2-167,1-2-175,1-2-168,1-2-170,1-2-184,1-2-158,,1-2-180,,,,,
1-2-167,2,Unknown(Meeting Room),,1-2-164,,1-2-163,1-2-169,1-2-175,,,,,,,,,,
1-2-168,2,Meeting Room,,1-2-164,,1-2-175,1-2-172,1-2-170,,,,,,,,,,
1-2-169,2,Washroom,,1-2-175,,1-2-163,1-2-167,1-2-171,,,,,,,,,,
1-2-170,2,Meeting Room,,1-2-164,,1-2-168,1-2-172,1-2-180,,,,,,,,,,
1-2-171,2,Washroom,,1-2-175,,1-2-117,1-2-169,2ST2,,,,,,,,,,
1-2-172,2,Filing,,1-2-175,,1-2-174,1-2-168,1-2-170,1-2-180,,,,,,,,,
1-2-174,2,Filing,,1-2-175,,1-2-130,1-2-180,1-2-172,,,,,,,,,,
1-2-175,2,Corridor,,1-2-233,1-2-174,1-2-172,1-2-164,1-2-169,1-2-171,1-2-117,,1-2-130,1-2-168,1-2-167,,,,
1-2-180,2,Facility,,1-2-147,1-2-190,,1-2-130,1-2-164,1-2-170,1-2-172,1-2-174,,,,,,,
1-2-184,2,Open Area,,1-2-190,1-2-148,1-2-152,1-2-154,1-2-155,1-2-156,1-2-157,1-2-164,,,,,,,
1-2-190,2,Open Area,,1-2-147,1-2-148,1-2-184,1-2-180,,,,,,,,,,,
1-2-233,2,Open Area,,1-2-122,1-2-124,1-2-125,1-2-130,1-2-175,1-2-118,,1-2-112,1-2-111,1-2-117,2ST2,,,,
2ST1,2,Elevator/Stair,,1-2-105,1ST1,3ST1,,1-2-108,1-2-106,1-2-104,,,,,,,,
2ST2,2,Elevator/Stair,,1-2-118,1ST2,3ST2,,1-2-233,1-2-111,2EV1,1-2-171,,,,,,,
2ST3,2,Elevator/Stair,,Outside,1-2-147,1ST3,3ST3,,1-2-146,1-2-150,,,,,,,,
2EV1,2,Elevator/Stair,,1-2-111,1EV1,0EV1,3EV1,,2ST2,,,,,,,,,
000,B1,Parking Garage,,1-0-110,1-0-111,1-0-112,1-0-103,1-0-104,1-0-101,0ST3,,0ST2,,,,,,
1-0-101,B1,Mechanical Room,,000,,0ST3,1-0-104,,,,,,,,,,,
1-0-103,B1,Unknown,,000,,0ST3,1-0-104,,,,,,,,,,,
1-0-104,B1,Unknown,,000,,0ST3,1-0-103,1-0-101,,,,,,,,,,
1-0-110,B1,Vest,,000,0EV1,0ST2,,1-0-111,,,,,,,,,,
1-0-111,B1,Unknown,,000,,0EV1,0ST2,1-0-112,1-0-110,,,,,,,,,
1-0-112,B1,Electrical Room,,000,,0ST2,1-0-111,,,,,,,,,,,
0ST2,B1,Elevator/Stair,,1-0-110,1ST2,,0EV1,1-0-111,1-0-112,000,,,,,,,,
0ST3,B1,Elevator/Stair,,000,1ST3,,1-0-103,1-0-101,1-0-104,,,,,,,,,
0EV1,B1,Elevator/Stair,,1-0-110,1EV1,2EV1,3EV1,,0ST2,1-0-111,,,,,,,,
1-3-100,3,Unknown(Open Area),,Outside,3ST1,1-3-101,,1-3-106,,,,,,,,,,
1-3-101,3,Unknown(Open Area),,Outside,1-3-100,3ST1,3ST2,3EV1,,1-3-106,1-3-104,1-3-162,1-3-168,,,,,
1-3-104,3,Unknown(Corridor),,1-3-106,1-3-114,,1-3-108,1-3-174,1-3-101,3ST2,,,,,,,,
1-3-106,3,Unknown(Meeting Room),,Outside,1-3-104,,1-3-100,1-3-101,1-3-108,,,,,,,,,
1-3-108,3,Unknown(Private Office),,Outside,1-3-114,,1-3-106,1-3-104,1-3-110,,,,,,,,,
1-3-110,3,Unknown(Private Office),,Outside,1-3-114,,1-3-108,1-3-116,,,,,,,,,,
1-3-112,3,Unknown(Open Area),,1-3-114,1-3-116,1-3-120,1-3-118,1-3-162,,1-3-156,1-3-170,,,,,,,
1-3-114,3,Unknown(Corridor),,1-3-104,1-3-108,1-3-110,1-3-112,1-3-170,,1-3-174,,,,,,,,
1-3-116,3,Unknown(Private Office),,Outside,1-3-112,,1-3-110,1-3-118,,,,,,,,,,
1-3-118,3,Unknown(Private Office),,Outside,1-3-120,,1-3-112,1-3-116,1-3-122,,,,,,,,,
1-3-120,3,Unknown(Open Area),,1-3-112,1-3-118,1-3-122,1-3-124,1-3-130,1-3-132,1-3-126,,1-3-134,1-3-154,,,,,
1-3-122,3,Unknown(Private Office),,Outside,1-3-120,,1-3-118,1-3-124,,,,,,,,,,
1-3-124,3,Unknown(Private Office),,Outside,1-3-120,,1-3-122,1-3-130,,,,,,,,,,
1-3-126,3,Unknown(Corridor),,1-3-120,1-3-134,1-3-138,3ST3,,1-3-140,1-3-132,,,,,,,,
1-3-130,3,Unknown(Meeting Room),,Outside,1-3-120,,1-3-124,1-3-132,,,,,,,,,,
1-3-132,3,Unknown(Shared Office),,Outside,1-3-120,,1-3-130,1-3-126,3ST3,,,,,,,,,
1-3-134,3,Unknown(Facility),,1-3-126,,1-3-120,1-3-138,1-3-154,,,,,,,,,,
1-3-136,3,Unknown(Open Area),,1-3-138,1-3-142,1-3-144,1-3-146,1-3-162,,,,,,,,,,
1-3-138,3,Unknown(Open Area),,1-3-126,1-3-140,1-3-136,,1-3-134,1-3-152,1-3-154,,,,,,,,
1-3-140,3,Unknown(Meeting Room),,Outside,1-3-138,,1-3-142,3ST3,1-3-126,,,,,,,,,
1-3-142,3,Unknown(Meeting Room),,Outside,1-3-136,,1-3-140,1-3-144,,,,,,,,,,
1-3-144,3,Unknown(Meeting Room),,Outside,1-3-136,,1-3-142,1-3-146,,,,,,,,,,
1-3-146,3,Unknown(Meeting Room),,Outside,1-3-136,,1-3-144,1-3-148,,,,,,,,,,
1-3-148,3,Unknown(Shared Office),,Outside,1-3-162,,1-3-146,1-3-150,1-3-180,,,,,,,,,
1-3-150,3,Unknown(Shared Office),,Outside,1-3-162,,1-3-160,1-3-148,1-3-180,,,,,,,,,
1-3-152,3,Unknown(Meeting Room),,1-3-162,,1-3-154,1-3-138,,,,,,,,,,,
1-3-154,3,Unknown(Meeting Room),,1-3-162,,1-3-120,1-3-134,1-3-138,1-3-152,,,,,,,,,
1-3-156,3,Unknown(Meeting Room),,1-3-162,,1-3-112,1-3-170,,,,,,,,,,,
1-3-160,3,Unknown(Private Office),,Outside,1-3-162,,1-3-164,1-3-150,1-3-180,,,,,,,,,
1-3-162,3,Unknown(Open Area),,1-3-112,1-3-156,1-3-154,1-3-152,1-3-136,1-3-148,1-3-150,1-3-160,1-3-164,1-3-166,1-3-168,1-3-170,,1-3-101,1-3-172
1-3-164,3,Unknown(Private Office),,Outside,1-3-162,,1-3-166,1-3-160,1-3-180,,,,,,,,,
1-3-166,3,Unknown(Open Area),,Outside,1-3-162,1-3-180,,1-3-168,1-3-164,,,,,,,,,
1-3-168,3,Unknown(Meeting Room),,Outside,1-3-162,,1-3-101,1-3-166,,,,,,,,,,
1-3-170,3,Unknown(Corridor),,1-3-114,1-3-162,1-3-172,1-3-174,,1-3-156,1-3-112,,,,,,,,
1-3-172,3,Washroom,,1-3-170,,1-3-174,1-3-162,3ST2,,,,,,,,,,
1-3-174,3,Washroom,,1-3-170,,1-3-172,1-3-104,3ST2,1-3-114,,,,,,,,,
1-3-180,3,Unknown(Balcony),,Outside,1-3-166,,1-3-164,1-3-160,1-3-150,1-3-148,,,,,,,,
3ST1,3,Elevator/Stair,,1-3-100,2ST1,,1-3-101,,,,,,,,,,,
3ST2,3,Elevator/Stair,,1-3-101,2ST2,,1-3-104,1-3-174,1-3-172,3EV1,,,,,,,,
3ST3,3,Elevator/Stair,,Outside,1-3-126,2ST3,,1-3-132,1-3-140,,,,,,,,,
3EV1,3,Elevator/Stair,,1-3-101,0EV1,1EV1,2EV1,,3ST2,,,,,,,,,
